minutesPlayed;tm_id;ss_id;season_origen;season_futuro_id;tipo_dato;accuratePassesPercentage;goalConversionPercentage;penaltyConversionPercentage;goals_p90;assists_p90;shotsOnTarget_p90;shotsOffTarget_p90;blockedShots_p90;keyPasses_p90;successfulDribbles_p90;offsides_p90;clearances_p90;dribbledPast_p90;fouls_p90;wasFouled_p90;aerialDuelsWon_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accurateCrosses_p90;yellowCards_p90
640;30543;13527;2020_2021;35813;futuro_real;74.67532467532467;0.0;0.0;0.0;0.140625;0.0;0.0;0.0;0.140625;0.0;0.0;5.203125;0.0;0.84375;1.265625;1.828125;1.6875;2.109375;0.0;0.0
1067;320749;385418;2020_2021;35813;futuro_real;65.94202898550725;0.0;0.0;0.0;0.0;0.2530459231490159;0.16869728209934395;0.08434864104967198;0.8434864104967197;0.6747891283973758;0.0;1.8556701030927834;0.5060918462980318;1.6026241799437675;1.1808809746954076;1.7713214620431115;7.928772258669166;2.530459231490159;0.6747891283973758;0.16869728209934395
1261;325591;875662;2020_2021;35813;futuro_real;74.48680351906158;0.0;0.0;0.0;0.07137192704203013;0.2141157811260904;0.6423473433782713;0.07137192704203013;0.49960348929421095;1.570182394924663;0.2854877081681205;0.2854877081681205;0.570975416336241;2.3552735923869945;2.069785884218874;4.068199841395717;6.423473433782712;0.7137192704203014;0.2854877081681205;0.2141157811260904
1346;325726;846366;2020_2021;35813;futuro_real;73.78048780487805;7.6923076923076925;0.0;0.20059435364041606;0.3343239227340267;1.2035661218424962;1.136701337295691;0.2674591381872214;1.7384843982169391;1.4041604754829122;0.6686478454680534;1.0029717682020802;0.2674591381872214;2.0059435364041605;1.8722139673105498;1.6047548291233285;7.622585438335809;0.4011887072808321;0.06686478454680535;0.1337295690936107
960;330169;805451;2020_2021;35813;futuro_real;70.55555555555556;9.67741935483871;0.0;0.28125;0.0;0.75;1.3125;0.84375;0.84375;1.5;0.375;0.75;0.0;1.78125;3.0;1.59375;5.0625;0.65625;0.09375;0.09375
1369;330690;805068;2020_2021;35813;futuro_real;77.28285077951003;0.0;0.0;0.0;0.06574141709276844;0.13148283418553688;0.0;0.19722425127830534;0.7231555880204529;0.13148283418553688;0.0;0.9861212563915267;0.591672753834916;1.7092768444119797;0.6574141709276845;1.183345507669832;5.259313367421476;2.169466764061359;0.19722425127830534;0.26296566837107377
1434;338977;883406;2020_2021;35813;futuro_real;67.72655007949126;0.0;0.0;0.0;0.06276150627615062;0.12552301255230125;0.18828451882845187;0.12552301255230125;0.4393305439330544;0.0;0.18828451882845187;3.1380753138075312;0.6903765690376569;1.8828451882845187;0.18828451882845187;1.6945606694560669;5.334728033472803;5.962343096234309;0.2510460251046025;0.18828451882845187
369;352344;876926;2020_2021;35813;futuro_real;85.08064516129032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24390243902439027;0.0;1.4634146341463417;0.48780487804878053;0.7317073170731708;1.2195121951219514;1.707317073170732;4.390243902439025;4.390243902439025;0.0;0.0
462;357124;805366;2020_2021;35813;futuro_real;76.0;0.0;0.0;0.0;0.0;0.3896103896103896;0.9740259740259739;0.7792207792207791;0.9740259740259739;0.9740259740259739;0.7792207792207791;0.7792207792207791;0.1948051948051948;2.142857142857143;2.142857142857143;1.3636363636363635;5.064935064935065;0.3896103896103896;0.3896103896103896;0.1948051948051948
1312;35805;20820;2020_2021;35813;futuro_real;78.81136950904393;5.555555555555555;0.0;0.06859756097560976;0.20579268292682928;0.20579268292682928;0.27439024390243905;0.7545731707317074;2.606707317073171;0.13719512195121952;0.06859756097560976;0.9603658536585366;0.7545731707317074;1.2347560975609757;1.8521341463414633;0.9603658536585366;11.52439024390244;5.4192073170731705;1.920731707317073;0.41158536585365857
