tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;season
415544;830746;41884;Neri Bandiera;32;Argentina;Delantero centro;Barracas;1773.0;27.0;21.0;4.0;28.0;17.0;5.0;6.0;4.0;19.0;6.0;1.0;11.0;0.0;0.0;0.0;7.0;22.0;8.0;20.0;11.0;0.0;22.0;59.0;32.0;91.0;359.0;208.0;133.0;6.0;8.0;338.0;36.0;0.0;0.0;2022_2023
195002;175977;40118;Álvaro Ampuero;29;Perú;Lateral izquierdo;U. San Martín;2063.0;26.0;24.0;1.0;15.0;5.0;8.0;2.0;1.0;4.0;1.0;0.0;19.0;0.0;0.0;0.0;0.0;48.0;54.0;91.0;9.0;4.0;46.0;23.0;46.0;90.0;708.0;518.0;69.0;63.0;1.0;245.0;10.0;5.0;0.0;2022_2023
621026;929014;40118;Oslimg Mora;23;Perú;Lateral derecho;Alianza Lima;594.0;15.0;6.0;0.0;10.0;2.0;4.0;4.0;0.0;6.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;15.0;4.0;7.0;4.0;0.0;13.0;9.0;0.0;34.0;221.0;172.0;59.0;15.0;4.0;98.0;6.0;3.0;0.0;2022_2023
547021;949793;40118;Alessandro Milesi;22;Perú;Lateral izquierdo;U. San Martín;122.0;4.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;0.0;0.0;1.0;3.0;3.0;4.0;34.0;24.0;2.0;2.0;1.0;17.0;0.0;1.0;0.0;2022_2023
628328;932088;40118;Piero Vivanco;22;Perú;Extremo derecho;Alianza Lima;1790.0;27.0;21.0;2.0;26.0;6.0;11.0;9.0;0.0;17.0;1.0;1.0;34.0;0.0;0.0;0.0;3.0;41.0;12.0;6.0;20.0;0.0;29.0;28.0;7.0;103.0;612.0;496.0;190.0;27.0;10.0;267.0;31.0;5.0;0.0;2022_2023
501586;877910;40118;Fabio Rojas;22;Perú;Lateral derecho;Alianza Lima;1085.0;16.0;12.0;0.0;5.0;0.0;3.0;2.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;26.0;28.0;14.0;0.0;20.0;8.0;22.0;37.0;419.0;300.0;67.0;25.0;2.0;191.0;5.0;4.0;1.0;2022_2023
665116;978545;40118;Axel Moyano;21;Perú;Pivote;Alianza Lima;2467.0;28.0;28.0;1.0;4.0;3.0;0.0;1.0;1.0;16.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;74.0;52.0;10.0;31.0;0.0;62.0;33.0;18.0;113.0;1069.0;901.0;185.0;93.0;2.0;230.0;24.0;13.0;1.0;2022_2023
565193;925119;40118;Joel López Pissano;25;Argentina;Mediocentro ofensivo;Rosario Central;1634.0;23.0;17.0;6.0;33.0;12.0;14.0;7.0;11.0;34.0;2.0;1.0;40.0;0.0;0.0;0.0;1.0;39.0;10.0;6.0;21.0;0.0;19.0;20.0;8.0;99.0;812.0;625.0;205.0;54.0;31.0;350.0;24.0;5.0;1.0;2022_2023
515413;874981;40118;Jesús Mendieta;24;Perú;Lateral izquierdo;Ayacucho FC;1605.0;21.0;19.0;1.0;17.0;5.0;7.0;5.0;1.0;13.0;2.0;0.0;10.0;0.0;0.0;0.0;0.0;25.0;29.0;23.0;12.0;1.0;19.0;11.0;15.0;46.0;550.0;352.0;95.0;39.0;12.0;327.0;14.0;7.0;1.0;2022_2023
279387;339475;40118;José Manzaneda;27;Perú;Extremo izquierdo;AD Cantolao;2033.0;31.0;26.0;5.0;38.0;13.0;14.0;11.0;4.0;34.0;4.0;3.0;33.0;0.0;1.0;1.0;9.0;37.0;11.0;18.0;21.0;0.0;34.0;37.0;19.0;107.0;686.0;555.0;260.0;24.0;28.0;324.0;43.0;1.0;0.0;2022_2023
